Sentence,Label
"I'm not upset, just extremely delighted.",1
"Wow, great job on completely ignoring what I said.",1
"Oh, fantastic, another Monday morning. Yay.",1
I totally love waiting in long queues for no reason.,1
"Sure, because I have nothing better to do.",1
"Oh great, more homework. Just what I needed.",1
"Yeah, I really wanted it to rain on my wedding day.",1
I'm so glad you pointed out the obvious.,1
This meeting could definitely not have been an email.,1
"Lovely, my phone died again, how fun.",1
"Awesome, the internet's down again.",1
"Great, I missed the bus by just two seconds.",1
"Just what I wanted, spam emails all day.",1
"Wow, that wasn’t confusing at all.",1
"Oh sure, I’d love to work overtime for free.",1
My favorite thing is when people interrupt me.,1
I'm not tired at all after working 14 hours straight.,1
Love it when my plans get canceled last minute.,1
"Yes, do tell me more about your cat’s sleeping habits.",1
"Yay, another unexpected software update!",1
I live for awkward small talk.,1
"Perfect, the elevator is out of order again.",1
"Yeah, talking to customer service is my hobby.",1
I absolutely adore traffic jams.,1
"Oh wow, a surprise quiz! You shouldn't have.",1
Best idea ever—doing taxes on a weekend.,1
"Oh, another Zoom meeting? I'm thrilled.",1
Of course I’m listening. I just love hearing this story for the fifth time.,1
"Nice, the printer jammed again.",1
"Sure, leave all the dishes for me, I insist.",1
"Oh brilliant, the neighbor’s dog is barking at 2 AM again.",1
"Fantastic, I dropped my phone face down.",1
"I'm so lucky, my coffee spilled on my report.",1
Isn’t it lovely when people chew loudly?,1
"Oh, I love when my favorite show gets cancelled.",1
"Amazing, now my car won't start.",1
"Yay, the power went out in the middle of my game.",1
Nothing says fun like stepping on a Lego.,1
"Wow, I really enjoy unsolicited advice.",1
Perfect weather for a picnic—if you love thunderstorms.,1
I’m not cold at all in this blizzard with no coat.,1
"Oh, I didn’t need sleep anyway.",1
"Yay, more emails I’ll never read.",1
Love it when my alarm goes off on my day off.,1
That was the most helpful error message ever.,1
"Oh, awesome, a 3-hour line for coffee.",1
"Brilliant, I locked myself out again.",1
I was hoping someone would steal my lunch from the fridge.,1
Of course your 45-minute monologue was captivating.,1
"Oh, I love when people block the entire aisle.",1
Fantastic timing—now it starts raining.,1
"Yes, I love buffering videos.",1
"Oh yes, tell me more about how I should live my life.",1
I'm very happy with the results.,0
Thank you for your help today.,0
The weather is beautiful outside.,0
I enjoyed the movie last night.,0
You did a great job on your presentation.,0
Looking forward to the weekend.,0
I had a great lunch with friends.,0
She is very kind and thoughtful.,0
The baby smiled at me.,0
He passed the test with flying colors.,0
The sunset looks amazing.,0
That was a delicious meal.,0
Congratulations on your promotion!,0
She really cares about her team.,0
The hike today was refreshing.,0
I'm grateful for your support.,0
I love spending time with my family.,0
He's very talented at painting.,0
This music is so relaxing.,0
They are very supportive colleagues.,0
I'm excited for the concert tonight.,0
The flowers are blooming beautifully.,0
I appreciate your honesty.,0
It’s nice to take a break sometimes.,0
He gave a very inspiring speech.,0
The kids played happily in the yard.,0
She always has a positive attitude.,0
That was a fun game.,0
He handled the situation well.,0
I'm proud of what we accomplished.,0
That’s a very thoughtful gift.,0
The cake you made is delicious.,0
It was great catching up with you.,0
She sings beautifully.,0
The puppy is so playful.,0
He always keeps his promises.,0
They worked hard to finish the project.,0
I really enjoy reading this book.,0
The lake was so calm and peaceful.,0
You're a great listener.,0
We had a wonderful time at the park.,0
Thanks for being there for me.,0
I'm glad we talked.,0
She handled the news with grace.,0
This view is breathtaking.,0
That was a very helpful tutorial.,0
He’s learning very quickly.,0
I'm happy to be part of this team.,0
This tea tastes amazing.,0
You look great today.,0
I'm looking forward to our next meeting.,0
im happy,0
Great timing.,1
Nice move.,1
So helpful.,1
"Wow, genius.",1
Perfect plan.,1
Love that.,1
Super smart.,1
"Bravo, really.",1
"Oh, brilliant.",1
So original.,1
Of course you did.,1
Just wonderful.,1
Exactly what I needed.,1
Impressive fail.,1
Really nailed it.,1
Amazing effort.,1
You're so clever.,1
What a surprise.,1
Totally expected.,1
"No way, right?",1
"Oh, because ignoring advice always works out so well.",1
